Código IBGE;Ano;Município;Masculino;Feminino;Ignorado;Nascidos vivos;População 2021
3545803;2021;Santa Bárbara d'Oeste;1.028;965;0;1.993;189.330
3546009;2021;Santa Branca;62;71;0;133;14.212
3546108;2021;Santa Clara d'Oeste;12;9;0;21;1.998
3546207;2021;Santa Cruz da Conceição;18;9;0;27;4.372
3546256;2021;Santa Cruz da Esperança;14;7;0;21;2.086
3546306;2021;Santa Cruz das Palmeiras;187;162;0;349;34.031
3546405;2021;Santa Cruz do Rio Pardo;276;282;0;558;46.276
3546504;2021;Santa Ernestina;41;35;0;76;5.527
3546603;2021;Santa Fé do Sul;226;222;0;448;30.897
3546702;2021;Santa Gertrudes;153;155;0;308;26.572
3546801;2021;Santa Isabel;327;332;0;659;55.436
3546900;2021;Santa Lúcia;38;35;0;73;8.590
3547007;2021;Santa Maria da Serra;44;37;0;81;6.208
3547106;2021;Santa Mercedes;15;18;0;33;2.814
3547205;2021;Santana da Ponte Pensa;12;9;0;21;1.497
3547304;2021;Santana de Parnaíba;1.155;1.057;0;2.212;140.616
3547403;2021;Santa Rita d'Oeste;11;11;0;22;2.389
3547502;2021;Santa Rita do Passa Quatro;101;116;0;217;26.355
3547601;2021;Santa Rosa de Viterbo;116;108;0;224;25.732
3547650;2021;Santa Salete;7;14;0;21;1.438
3547700;2021;Santo Anastácio;107;85;0;192;20.106
3547809;2021;Santo André;4.031;3.870;0;7.901;694.681
3547908;2021;Santo Antônio da Alegria;54;35;0;89;6.661
3548005;2021;Santo Antônio de Posse;149;138;0;287;23.027
3548054;2021;Santo Antônio do Aracanguá;48;45;0;93;8.297
3548104;2021;Santo Antônio do Jardim;37;21;0;58;5.823
3548203;2021;Santo Antônio do Pinhal;48;41;0;89;6.643
3548302;2021;Santo Expedito;19;22;0;41;2.986
3548401;2021;Santópolis do Aguapeí;20;23;0;43;4.698
3548500;2021;Santos;1.986;1.806;0;3.792;429.513
3548609;2021;São Bento do Sapucaí;58;60;0;118;10.539
3548708;2021;São Bernardo do Campo;4.400;4.239;0;8.639;815.109
3548807;2021;São Caetano do Sul;674;739;0;1.413;151.111
3548906;2021;São Carlos;1.444;1.371;0;2.815;244.036
3549003;2021;São Francisco;12;8;0;20;2.667
3549102;2021;São João da Boa Vista;9;14;0;23;87.537
3549201;2021;São João das Duas Pontes;5;8;0;13;2.466
3549250;2021;São João de Iracema;10;9;0;19;1.853
3549300;2021;São João do Pau d'Alho;10;4;0;14;1.973
3549409;2021;São Joaquim da Barra;258;236;0;494;50.553
3549508;2021;São José da Bela Vista;41;45;0;86;8.762
3549607;2021;São José do Barreiro;23;19;0;42;4.073
3549706;2021;São José do Rio Pardo;296;235;0;531;53.277
3549805;2021;São José do Rio Preto;2.601;2.586;0;5.187;450.361
3549904;2021;São José dos Campos;4.253;4.217;0;8.470;716.688
3549953;2021;São Lourenço da Serra;89;86;0;175;15.721
3550001;2021;São Luiz do Paraitinga;62;43;0;105;10.584
3550100;2021;São Manuel;230;223;0;453;39.678
3550209;2021;São Miguel Arcanjo;184;185;0;369;32.115
3550308;2021;São Paulo;68.918;66.426;2;135.346;11.914.851
3550407;2021;São Pedro;197;200;0;397;34.408
3550506;2021;São Pedro do Turvo;44;38;0;82;7.389
3550605;2021;São Roque;442;424;0;866;88.032
3550704;2021;São Sebastião;591;583;0;1.174;88.156
3550803;2021;São Sebastião da Grama;49;43;0;92;11.929
3550902;2021;São Simão;62;56;0;118;14.891
3551009;2021;São Vicente;1.981;1.958;0;3.939;360.262
3551108;2021;Sarapuí;58;61;0;119;10.206
3551207;2021;Sarutaiá;24;18;0;42;3.652
3551306;2021;Sebastianópolis do Sul;13;16;0;29;3.304
3551405;2021;Serra Azul;53;52;0;105;12.381
3551504;2021;Serrana;248;268;0;516;44.870
3551603;2021;Serra Negra;151;139;0;290;27.486
3551702;2021;Sertãozinho;754;754;0;1.508;123.148
3551801;2021;Sete Barras;98;107;0;205;12.643
3551900;2021;Severínia;98;87;0;185;17.263
3552007;2021;Silveiras;36;38;0;74;6.240
3552106;2021;Socorro;186;189;0;375;38.896
3552205;2021;Sorocaba;4.415;4.183;0;8.598;663.739
3552304;2021;Sud Mennucci;43;46;0;89;7.728
3552403;2021;Sumaré;1.690;1.685;0;3.375;286.462
3552502;2021;Suzano;2.133;2.113;1;4.247;293.464
3552551;2021;Suzanápolis;20;26;0;46;3.990
3552601;2021;Tabapuã;50;50;0;100;11.918
3552700;2021;Tabatinga;89;95;0;184;15.996
3552809;2021;Taboão da Serra;1.804;1.710;1;3.515;287.155
3552908;2021;Taciba;40;44;0;84;6.081
3553005;2021;Taguaí;94;88;0;182;13.503
3553104;2021;Taiaçu;39;31;0;70;6.048
3553203;2021;Taiúva;24;19;0;43;6.265
3553302;2021;Tambaú;130;123;0;253;22.846
3553401;2021;Tanabi;137;129;0;266;25.147
3553500;2021;Tapiraí;61;42;0;103;7.705
3553609;2021;Tapiratiba;51;51;0;102;12.602
3553658;2021;Taquaral;6;15;0;21;2.753
3553708;2021;Taquaritinga;283;254;0;537;54.531
3553807;2021;Taquarituba;142;130;0;272;23.246
3553856;2021;Taquarivaí;56;48;0;104;5.803
3553906;2021;Tarabai;33;29;0;62;7.327
3553955;2021;Tarumã;91;80;0;171;14.951
3554003;2021;Tatuí;753;748;0;1.501;121.202
3554102;2021;Taubaté;1.774;1.781;0;3.555;309.483
3554201;2021;Tejupá;32;25;0;57;4.707
3554300;2021;Teodoro Sampaio;141;160;0;301;22.495
3554409;2021;Terra Roxa;41;36;0;77;9.170
3554508;2021;Tietê;227;212;0;439;41.405
3554607;2021;Timburi;7;7;0;14;2.551
3554656;2021;Torre de Pedra;15;13;0;28;2.325
3554706;2021;Torrinha;36;51;0;87;9.736
3554755;2021;Trabiju;15;7;0;22;1.716
3554805;2021;Tremembé;226;222;0;448;46.364
3554904;2021;Três Fronteiras;34;26;0;60;5.550
3554953;2021;Tuiuti;28;38;0;66;6.597
3555000;2021;Tupã;338;313;0;651;62.720
3555109;2021;Tupi Paulista;60;64;0;124;14.877
3555208;2021;Turiúba;12;4;0;16;1.905
3555307;2021;Turmalina;10;5;0;15;1.789
3555356;2021;Ubarana;38;25;0;63;6.126
3555406;2021;Ubatuba;676;614;0;1.290;89.782
3555505;2021;Ubirajara;46;36;0;82;4.684
3555604;2021;Uchoa;53;45;0;98;9.689
3555703;2021;União Paulista;13;9;0;22;1.751
3555802;2021;Urânia;39;36;0;75;8.584
3555901;2021;Uru;6;8;0;14;1.203
3556008;2021;Urupês;67;74;0;141;13.181
3556107;2021;Valentim Gentil;85;71;0;156;12.897
3556206;2021;Valinhos;638;608;0;1.246;125.800
3556305;2021;Valparaíso;87;101;0;188;24.099
3556354;2021;Vargem;49;55;0;104;10.094
3556404;2021;Vargem Grande do Sul;251;253;0;504;41.684
3556453;2021;Vargem Grande Paulista;390;362;0;752;53.613
3556503;2021;Várzea Paulista;635;635;0;1.270;121.482
3556602;2021;Vera Cruz;46;36;0;82;10.506
3556701;2021;Vinhedo;433;390;0;823;78.440
3556800;2021;Viradouro;99;114;0;213;18.421
3556909;2021;Vista Alegre do Alto;61;51;0;112;8.091
3556958;2021;Vitória Brasil;11;6;0;17;1.761
3557006;2021;Votorantim;787;733;0;1.520;120.662
3557105;2021;Votuporanga;584;527;0;1.111;92.193
3557154;2021;Zacarias;18;7;0;25;2.574
3557204;2021;Chavantes;72;79;0;151;12.229
3557303;2021;Estiva Gerbi;72;57;0;129;11.156
