"Localidades";"Períodos";"Taxa de Natalidade (Por mil habitantes)";"Cód. IBGE"
"Paulínia";"1984";"19,99";3536505
"Paulínia";"1985";"21,67";3536505
"Paulínia";"1986";"22,53";3536505
"Paulínia";"1987";"22,65";3536505
"Paulínia";"1988";"22,68";3536505
"Paulínia";"1989";"25,7";3536505
"Paulínia";"1990";"22,6";3536505
"Paulínia";"1991";"23,03";3536505
"Paulínia";"1992";"21,55";3536505
"Paulínia";"1993";"20,89";3536505
"Paulínia";"1994";"20,69";3536505
"Paulínia";"1995";"21,05";3536505
"Paulínia";"1996";"20,31";3536505
"Paulínia";"1997";"22,06";3536505
"Paulínia";"1998";"20,37";3536505
"Paulínia";"1999";"19";3536505
"Paulínia";"2000";"19,92";3536505
"Paulínia";"2001";"18,71";3536505
"Paulínia";"2002";"17,52";3536505
"Paulínia";"2003";"17,8";3536505
"Paulínia";"2004";"18,09";3536505
"Paulínia";"2005";"17,47";3536505
"Paulínia";"2006";"17,85";3536505
"Paulínia";"2007";"16,53";3536505
"Paulínia";"2008";"15,76";3536505
"Paulínia";"2009";"15,72";3536505
"Paulínia";"2010";"16,39";3536505
"Paulínia";"2011";"15,68";3536505
"Paulínia";"2012";"15,91";3536505
"Paulínia";"2013";"15,18";3536505
"Paulínia";"2014";"15,13";3536505
"Paulínia";"2015";"15,53";3536505
"Paulínia";"2016";"14,73";3536505
"Paulínia";"2017";"15,16";3536505
"Paulínia";"2018";"15,32";3536505
"Paulínia";"2019";"";3536505
"Paulínia";"2020";"";3536505
"Pedreira";"1980";"25,73";3537107
"Pedreira";"1981";"27,26";3537107
"Pedreira";"1982";"26,77";3537107
"Pedreira";"1983";"23,81";3537107
"Pedreira";"1984";"18,73";3537107
"Pedreira";"1985";"22,4";3537107
"Pedreira";"1986";"23,38";3537107
"Pedreira";"1987";"22,2";3537107
"Pedreira";"1988";"15,61";3537107
"Pedreira";"1989";"19,3";3537107
"Pedreira";"1990";"22,12";3537107
"Pedreira";"1991";"19,31";3537107
"Pedreira";"1992";"17,33";3537107
"Pedreira";"1993";"17,8";3537107
"Pedreira";"1994";"17,53";3537107
"Pedreira";"1995";"16,12";3537107
"Pedreira";"1996";"15,24";3537107
"Pedreira";"1997";"14,84";3537107
"Pedreira";"1998";"15,5";3537107
"Pedreira";"1999";"16,69";3537107
"Pedreira";"2000";"16,28";3537107
"Pedreira";"2001";"14,93";3537107
"Pedreira";"2002";"14,83";3537107
"Pedreira";"2003";"14,99";3537107
"Pedreira";"2004";"14,41";3537107
"Pedreira";"2005";"13,44";3537107
"Pedreira";"2006";"14,39";3537107
"Pedreira";"2007";"11,43";3537107
"Pedreira";"2008";"12,72";3537107
"Pedreira";"2009";"11,86";3537107
"Pedreira";"2010";"12,6";3537107
"Pedreira";"2011";"12,49";3537107
"Pedreira";"2012";"10,29";3537107
"Pedreira";"2013";"12,24";3537107
"Pedreira";"2014";"11,67";3537107
"Pedreira";"2015";"11,46";3537107
"Pedreira";"2016";"10,18";3537107
"Pedreira";"2017";"10,65";3537107
"Pedreira";"2018";"10,48";3537107
"Pedreira";"2019";"";3537107
"Pedreira";"2020";"";3537107
"Santa Bárbara d'Oeste";"1980";"24,94";3545803
"Santa Bárbara d'Oeste";"1981";"26,56";3545803
"Santa Bárbara d'Oeste";"1982";"23,41";3545803
"Santa Bárbara d'Oeste";"1983";"23,21";3545803
"Santa Bárbara d'Oeste";"1984";"20,37";3545803
"Santa Bárbara d'Oeste";"1985";"23";3545803
"Santa Bárbara d'Oeste";"1986";"20,44";3545803
"Santa Bárbara d'Oeste";"1987";"21,86";3545803
"Santa Bárbara d'Oeste";"1988";"21,07";3545803
"Santa Bárbara d'Oeste";"1989";"21,02";3545803
"Santa Bárbara d'Oeste";"1990";"20,09";3545803
"Santa Bárbara d'Oeste";"1991";"19,22";3545803
"Santa Bárbara d'Oeste";"1992";"17,85";3545803
"Santa Bárbara d'Oeste";"1993";"18,03";3545803
"Santa Bárbara d'Oeste";"1994";"18,34";3545803
"Santa Bárbara d'Oeste";"1995";"17,24";3545803
"Santa Bárbara d'Oeste";"1996";"16,41";3545803
"Santa Bárbara d'Oeste";"1997";"15,67";3545803
"Santa Bárbara d'Oeste";"1998";"16,78";3545803
"Santa Bárbara d'Oeste";"1999";"15,57";3545803
"Santa Bárbara d'Oeste";"2000";"14,56";3545803
"Santa Bárbara d'Oeste";"2001";"13,39";3545803
"Santa Bárbara d'Oeste";"2002";"13,12";3545803
"Santa Bárbara d'Oeste";"2003";"12,82";3545803
"Santa Bárbara d'Oeste";"2004";"13,5";3545803
"Santa Bárbara d'Oeste";"2005";"13,14";3545803
"Santa Bárbara d'Oeste";"2006";"12,66";3545803
"Santa Bárbara d'Oeste";"2007";"12,11";3545803
"Santa Bárbara d'Oeste";"2008";"12,18";3545803
"Santa Bárbara d'Oeste";"2009";"12,37";3545803
"Santa Bárbara d'Oeste";"2010";"12,43";3545803
"Santa Bárbara d'Oeste";"2011";"12,56";3545803
"Santa Bárbara d'Oeste";"2012";"12,8";3545803
"Santa Bárbara d'Oeste";"2013";"12,12";3545803
"Santa Bárbara d'Oeste";"2014";"12,59";3545803
"Santa Bárbara d'Oeste";"2015";"13,13";3545803
"Santa Bárbara d'Oeste";"2016";"12,77";3545803
